Frame;CaptureTime;LogTime;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
46021;1E+18;6,37486E+13;VALID;0,5075724;-0,03419364;0,8609304;30,52201;-2,274426;0,127950042;VALID;0,4391888;-0,08860066;0,8940152;26,16278;-5,659771;0,125921011;0,466425896;1
46022;1E+18;6,37486E+13;VALID;0,5078731;-0,03423011;0,8607516;30,54207;-2,277322;0,128900647;VALID;0,4392653;-0,08854657;0,8939829;26,16755;-5,656541;0,125295639;0,466319501;1
46023;1E+18;6,37486E+13;VALID;0,5082481;-0,03418805;0,8605318;30,56699;-2,275106;0,128177136;VALID;0,4393349;-0,0886482;0,8939387;26,17226;-5,66327;0,124807797;0,464714497;1
46024;1E+18;6,37486E+13;VALID;0,5087093;-0,03418161;0,8602595;30,59769;-2,275398;0,127677739;VALID;0,4394015;-0,0887549;0,8938953;26,1768;-5,670315;0,124962896;0,463058829;1
46025;1E+18;6,37486E+13;VALID;0,5091572;-0,03417686;0,8599946;30,62753;-2,275781;0,12789157;VALID;0,4392705;-0,08880911;0,8939543;26,16854;-5,673384;0,124824107;0,461283863;1
46026;1E+18;6,37486E+13;VALID;0,5094906;-0,03414064;0,8597987;30,6497;-2,27389;0,127112955;VALID;0,439142;-0,08885985;0,8940125;26,16043;-5,676238;0,125021771;0,459659994;1
46027;1E+18;6,37486E+13;VALID;0,5099505;-0,0341735;0,8595247;30,68039;-2,276801;0,127730951;VALID;0,439205;-0,08893757;0,8939738;26,16467;-5,681414;0,124689959;0,458372742;1
46028;1E+18;6,37486E+13;VALID;0,5103061;-0,03415236;0,8593144;30,70407;-2,27595;0,127634689;VALID;0,4393075;-0,0889753;0,8939196;26,17133;-5,68415;0,125073895;0,457366794;1
46029;1E+18;6,37486E+13;VALID;0,5106331;-0,03412386;0,8591213;30,72584;-2,274564;0,127417728;VALID;0,4393895;-0,0890553;0,8938714;26,17679;-5,689533;0,1249355;0,456138849;1
46030;1E+18;6,37486E+13;VALID;0,5109618;-0,03415024;0,8589247;30,7478;-2,27684;0,127690911;VALID;0,4393256;-0,08905335;0,893903;26,17269;-5,689209;0,124836542;0,455276161;1
46031;1E+18;6,37486E+13;VALID;0,5111856;-0,03415665;0,8587914;30,76274;-2,277621;0,127473429;VALID;0,4393344;-0,08912726;0,8938913;26,17344;-5,693974;0,124271266;0,454370409;1
46032;1E+18;6,37486E+13;VALID;0,5113712;-0,03414018;0,8586815;30,7751;-2,276814;0,127920523;VALID;0,4393804;-0,08915447;0,8938659;26,17645;-5,695861;0,125209361;0,453766108;1
46033;1E+18;6,37486E+13;VALID;0,5114774;-0,03414251;0,8586182;30,78218;-2,277137;0,127676681;VALID;0,4393443;-0,08924077;0,8938751;26,17436;-5,701281;0,124783501;0,452989697;1
46034;1E+18;6,37486E+13;VALID;0,5116625;-0,03415266;0,8585075;30,79455;-2,278107;0,127621606;VALID;0,4395086;-0,08951385;0,893767;26,18558;-5,719298;0,126646563;0,451583475;1
46035;1E+18;6,37486E+13;VALID;0,5118122;-0,03415756;0,858418;30,80454;-2,278671;0,127548993;VALID;0,4394111;-0,08956375;0,8938099;26,17946;-5,722192;0,125071779;0,450755745;1
46036;1E+18;6,37486E+13;VALID;0,5118798;-0,03411585;0,8583794;30,80901;-2,275994;0,127586976;VALID;0,4393392;-0,08955751;0,8938459;26,17484;-5,721568;0,124787703;0,450236678;1
46037;1E+18;6,37486E+13;VALID;0,511928;-0,0340733;0,8583524;30,81218;-2,273229;0,12755686;VALID;0,4392658;-0,08948122;0,8938896;26,16994;-5,716448;0,124659434;0,450101763;1
46038;1E+18;6,37486E+13;VALID;0,5119482;-0,03401366;0,8583426;30,81346;-2,26928;0,127971679;VALID;0,4391385;-0,08951604;0,8939487;26,16187;-5,718283;0,124893211;0,449292094;1
46039;1E+18;6,37486E+13;VALID;0,5119271;-0,033965;0,8583572;30,81199;-2,265999;0,127860367;VALID;0,4390696;-0,08950058;0,8939841;26,15741;-5,717076;0,125100374;0,449021667;1
46040;1E+18;6,37486E+13;VALID;0,5118907;-0,03391206;0,858381;30,8095;-2,262408;0,127817482;VALID;0,4389519;-0,08948112;0,8940438;26,14982;-5,715462;0,125308529;0,448679447;1
46041;1E+18;6,37486E+13;VALID;0,5118968;-0,03386288;0,8583793;30,80985;-2,259135;0,128435358;VALID;0,4388734;-0,08940133;0,8940903;26,14459;-5,710105;0,125002682;0,448625177;1
46042;1E+18;6,37486E+13;VALID;0,5118523;-0,03382583;0,8584073;30,80684;-2,256592;0,12759915;VALID;0,4387141;-0,08936445;0,8941722;26,13428;-5,707245;0,125144422;0,448373914;1
46043;1E+18;6,37486E+13;VALID;0,5117865;-0,03380704;0,8584473;30,80243;-2,255235;0,128264517;VALID;0,438626;-0,08937784;0,8942141;26,12867;-5,707829;0,125412494;0,448188365;1
46044;1E+18;6,37486E+13;VALID;0,5118458;-0,03375288;0,858414;30,80632;-2,251713;0,12853846;VALID;0,4385211;-0,08935446;0,8942679;26,12189;-5,706005;0,125321135;0,447639823;1
46045;1E+18;6,37486E+13;VALID;0,5119073;-0,03369827;0,8583795;30,81036;-2,248164;0,12827301;VALID;0,4384724;-0,08930224;0,8942969;26,11864;-5,702508;0,125405803;0,447348356;1
46046;1E+18;6,37486E+13;VALID;0,5119539;-0,03369714;0,8583517;30,81347;-2,248161;0,128442749;VALID;0,4384286;-0,08916526;0,8943321;26,11549;-5,693596;0,125684261;0,447774142;1
46047;1E+18;6,37486E+13;VALID;0,5119783;-0,03360059;0,858341;30,81499;-2,241754;0,128377125;VALID;0,4382689;-0,08896291;0,8944305;26,10475;-5,680139;0,125196651;0,447829366;1
46048;1E+18;6,37486E+13;VALID;0,5120269;-0,0335636;0,8583134;30,81819;-2,239361;0,128642336;VALID;0,4382255;-0,08886431;0,8944616;26,10172;-5,673688;0,125408977;0,447885484;1
46049;1E+18;6,37486E+13;VALID;0,5120005;-0,03346105;0,8583332;30,81631;-2,232474;0,128515437;VALID;0,4380883;-0,08878212;0,894537;26,09272;-5,668001;0,125652999;0,447523952;1
46050;1E+18;6,37486E+13;VALID;0,5120037;-0,03341216;0,8583332;30,81647;-2,229215;0,128778353;VALID;0,4379969;-0,08873007;0,8945869;26,08674;-5,664386;0,125745475;0,447310776;1
46051;1E+18;6,37486E+13;VALID;0,5120463;-0,03329464;0,8583124;30,81918;-2,221436;0,128758281;VALID;0,4379394;-0,08865364;0,8946226;26,08287;-5,659313;0,126276165;0,446849436;1
46052;1E+18;6,37486E+13;VALID;0,5120441;-0,03320551;0,8583171;30,81893;-2,215484;0,129106805;VALID;0,4378849;-0,08858284;0,8946563;26,0792;-5,654612;0,126273617;0,446626425;1
46053;1E+18;6,37486E+13;VALID;0,5119902;-0,0331684;0,8583507;30,81529;-2,212924;0,129078329;VALID;0,4378511;-0,08860376;0,8946708;26,07709;-5,655847;0,126986176;0,446412385;1
46054;1E+18;6,37486E+13;VALID;0,5119908;-0,03316657;0,8583503;30,81533;-2,212802;0,129727408;VALID;0,4377475;-0,08852199;0,8947296;26,07025;-5,650292;0,126475841;0,446546644;1
46055;1E+18;6,37486E+13;VALID;0,511977;-0,03308426;0,8583618;30,81431;-2,207287;0,12886627;VALID;0,4376141;-0,08839741;0,8948071;26,0614;-5,641907;0,126694277;0,446457535;1
46056;1E+18;6,37486E+13;VALID;0,5120154;-0,03299966;0,8583422;30,81678;-2,201699;0,129386932;VALID;0,4375094;-0,08838571;0,8948595;26,05466;-5,640836;0,126633406;0,445758164;1
46057;1E+18;6,37486E+13;VALID;0,5120223;-0,03299356;0,8583383;30,81723;-2,201301;0,129697859;VALID;0,4371994;-0,08827601;0,8950218;26,03454;-5,632865;0,126704261;0,445502043;1
46058;1E+18;6,37486E+13;VALID;0,5120023;-0,0329755;0,8583509;30,81588;-2,200066;0,129644006;VALID;0,4370499;-0,0883144;0,8950911;26,02506;-5,634866;0,127237931;0,444945335;1
